"sent_index","gap","layers","language","that_comp","what","that","filler_effect","err","model"
0,"no-gap","5","Norwegian - Wh","no",8.77700138092041,8.09045886993408,0.686542510986328,0.102170118901296,"GPT2"
0,"no-gap","5","Norwegian - Wh","yes",5.17697858810425,5.01020383834839,0.166774749755859,0.0612291683097722,"GPT2"
0,"no-gap","5","Norwegian - RC","no",7.45096921920776,7.07379341125488,0.377175807952881,0.0918351805988243,"GPT2"
0,"no-gap","5","Norwegian - RC","yes",4.2794303894043,4.56992721557617,-0.290496826171875,0.0683896211687335,"GPT2"
1,"no-gap","1","English - Wh","no",9.53550148010254,7.28093481063843,2.25456666946411,0.238036462219969,"GPT2"
1,"no-gap","1","English - Wh","yes",9.53550148010254,7.28093481063843,2.25456666946411,0.247471476675754,"GPT2"
1,"no-gap","1","Norwegian - Wh","no",11.140908241272,8.56754493713379,2.57336330413818,0.291730984871458,"GPT2"
1,"no-gap","1","Norwegian - Wh","yes",11.140908241272,8.56754493713379,2.57336330413818,0.313951891753621,"GPT2"
1,"no-gap","1","Norwegian - RC","no",15.1551237106323,7.85300445556641,7.30211925506592,0.280870324255448,"GPT2"
1,"no-gap","1","Norwegian - RC","yes",15.1551237106323,7.85300445556641,7.30211925506592,0.294762926786819,"GPT2"
1,"no-gap","2","English - Wh","no",7.55516266822815,7.8550021648407,-0.299839496612549,0.182808660142307,"GPT2"
1,"no-gap","2","English - Wh","yes",7.30954504013062,7.03006982803345,0.279475212097168,0.118679819114535,"GPT2"
1,"no-gap","2","Norwegian - Wh","no",15.8109931945801,16.3616123199463,-0.550619125366211,0.188918445181316,"GPT2"
1,"no-gap","2","Norwegian - Wh","yes",8.73972034454346,8.44573783874512,0.29398250579834,0.0939291816228446,"GPT2"
1,"no-gap","2","Norwegian - RC","no",17.0690746307373,15.6684188842773,1.40065574645996,0.205003957721418,"GPT2"
1,"no-gap","2","Norwegian - RC","yes",12.7524185180664,8.61009979248047,4.14231872558594,0.159806804732694,"GPT2"
1,"no-gap","3","English - Wh","no",7.60361576080322,6.99686169624329,0.606754064559935,0.104219487609725,"GPT2"
1,"no-gap","3","English - Wh","yes",6.538006067276,5.99887204170227,0.53913402557373,0.0555273440423392,"GPT2"
1,"no-gap","3","Norwegian - Wh","no",16.804615020752,17.1475639343262,-0.342948913574219,0.14209465225012,"GPT2"
1,"no-gap","3","Norwegian - Wh","yes",10.1467742919922,9.80075931549072,0.346014976501463,0.0600942469388593,"GPT2"
1,"no-gap","3","Norwegian - RC","no",17.4438705444336,17.109992980957,0.333877563476562,0.144706131533571,"GPT2"
1,"no-gap","3","Norwegian - RC","yes",9.39056968688965,9.13625431060791,0.254315376281738,0.0779846590327538,"GPT2"
1,"no-gap","4","English - Wh","no",7.04038095474243,6.67522311210633,0.365157842636107,0.0808716483148791,"GPT2"
1,"no-gap","4","English - Wh","yes",6.34555387496948,6.05629086494446,0.289263010025024,0.0629012497159846,"GPT2"
1,"no-gap","4","Norwegian - Wh","no",17.383544921875,16.7797832489014,0.603761672973633,0.113362750134899,"GPT2"
1,"no-gap","4","Norwegian - Wh","yes",10.0874938964844,9.81416130065918,0.273332595825197,0.0592738849972877,"GPT2"
1,"no-gap","4","Norwegian - RC","no",16.4260063171387,15.9425191879272,0.483487129211426,0.120607910883837,"GPT2"
1,"no-gap","4","Norwegian - RC","yes",10.5945959091187,10.9328536987305,-0.338257789611816,0.0631936208903588,"GPT2"
1,"no-gap","5","English - Wh","no",6.97549438476562,6.65582370758057,0.319670677185059,0.0795306315320518,"GPT2"
1,"no-gap","5","English - Wh","yes",6.49714756011963,6.16260766983032,0.334539890289308,0.0587554307708888,"GPT2"
1,"no-gap","5","Norwegian - Wh","no",16.7847995758057,16.9864521026611,-0.201652526855469,0.102170118901296,"GPT2"
1,"no-gap","5","Norwegian - Wh","yes",10.861855506897,10.9736766815186,-0.111821174621584,0.0612291683097722,"GPT2"
1,"no-gap","5","Norwegian - RC","no",16.0742721557617,16.4028167724609,-0.328544616699219,0.0918351805988243,"GPT2"
1,"no-gap","5","Norwegian - RC","yes",9.40104675292969,9.73476028442383,-0.333713531494141,0.0683896211687335,"GPT2"
2,"no-gap","1","English - Wh","no",8.9762978553772,4.38179707527161,4.59450078010559,0.238036462219969,"GPT2"
2,"no-gap","1","English - Wh","yes",8.9762978553772,4.38179707527161,4.59450078010559,0.247471476675754,"GPT2"
2,"no-gap","1","Norwegian - Wh","no",8.37833499908447,4.74229621887207,3.6360387802124,0.291730984871458,"GPT2"
2,"no-gap","1","Norwegian - Wh","yes",8.37833499908447,4.74229621887207,3.6360387802124,0.313951891753621,"GPT2"
2,"no-gap","1","Norwegian - RC","no",10.3870182037354,6.75477361679077,3.63224458694458,0.280870324255448,"GPT2"
2,"no-gap","1","Norwegian - RC","yes",10.3870182037354,6.75477361679077,3.63224458694458,0.294762926786819,"GPT2"
2,"no-gap","2","English - Wh","no",7.50669693946838,4.82968103885651,2.67701590061188,0.182808660142307,"GPT2"
2,"no-gap","2","English - Wh","yes",4.82952380180359,3.98306274414062,0.846461057662964,0.118679819114535,"GPT2"
2,"no-gap","2","Norwegian - Wh","no",7.90886211395264,5.86859273910522,2.04026937484741,0.188918445181316,"GPT2"
2,"no-gap","2","Norwegian - Wh","yes",5.2070837020874,4.85765266418457,0.349431037902832,0.0939291816228446,"GPT2"
2,"no-gap","2","Norwegian - RC","no",7.8322696685791,6.07955121994019,1.75271844863892,0.205003957721418,"GPT2"
2,"no-gap","2","Norwegian - RC","yes",5.96044492721558,5.51044178009033,0.450003147125244,0.159806804732694,"GPT2"
2,"no-gap","3","English - Wh","no",6.07021236419678,5.35792505741119,0.712287306785583,0.104219487609725,"GPT2"
2,"no-gap","3","English - Wh","yes",4.57317090034485,4.5364636182785,0.0367072820663452,0.0555273440423392,"GPT2"
2,"no-gap","3","Norwegian - Wh","no",8.07336044311523,6.21439695358276,1.85896348953247,0.14209465225012,"GPT2"
2,"no-gap","3","Norwegian - Wh","yes",5.48231315612793,4.81645774841309,0.665855407714844,0.0600942469388593,"GPT2"
2,"no-gap","3","Norwegian - RC","no",8.56655120849609,7.88462543487549,0.681925773620605,0.144706131533571,"GPT2"
2,"no-gap","3","Norwegian - RC","yes",6.17381381988525,5.79221105575562,0.381602764129639,0.0779846590327538,"GPT2"
2,"no-gap","4","English - Wh","no",6.20369851589203,6.05636787414551,0.147330641746521,0.0808716483148791,"GPT2"
2,"no-gap","4","English - Wh","yes",4.99435544013977,5.02096402645111,-0.0266085863113403,0.0629012497159846,"GPT2"
2,"no-gap","4","Norwegian - Wh","no",9.45470428466797,7.63977861404419,1.81492567062378,0.113362750134899,"GPT2"
2,"no-gap","4","Norwegian - Wh","yes",5.45704078674316,4.89277267456055,0.564268112182617,0.0592738849972877,"GPT2"
2,"no-gap","4","Norwegian - RC","no",7.88435935974121,8.00505065917969,-0.120691299438477,0.120607910883837,"GPT2"
2,"no-gap","4","Norwegian - RC","yes",5.78601741790771,5.31716346740723,0.468853950500488,0.0631936208903588,"GPT2"
2,"no-gap","5","English - Wh","no",5.89032661914825,5.52278959751129,0.367537021636963,0.0795306315320518,"GPT2"
2,"no-gap","5","English - Wh","yes",5.21564674377441,4.89218091964722,0.323465824127197,0.0587554307708888,"GPT2"
2,"no-gap","5","Norwegian - Wh","no",8.08620929718018,7.48932218551636,0.596887111663818,0.102170118901296,"GPT2"
2,"no-gap","5","Norwegian - Wh","yes",5.37972640991211,4.82651138305664,0.553215026855469,0.0612291683097722,"GPT2"
2,"no-gap","5","Norwegian - RC","no",8.24535942077637,8.46497917175293,-0.219619750976562,0.0918351805988243,"GPT2"
2,"no-gap","5","Norwegian - RC","yes",5.88379287719727,5.59026670455933,0.293526172637939,0.0683896211687335,"GPT2"
