"sent_index","gap","layers","language","that_comp","what","that","filler_effect","err","model"
1,"no-gap","5","Norwegian - Wh","yes",7.3057050704956,7.08543729782104,0.22026777267456,0.0490500426053259,"LSTM"
1,"no-gap","5","Norwegian - RC","no",14.5883493423462,12.095591545105,2.49275779724121,0.171539001353807,"LSTM"
1,"no-gap","5","Norwegian - RC","yes",6.98069286346436,6.91719007492065,0.0635027885437021,0.0493484614300167,"LSTM"
2,"no-gap","1","English - Wh","no",10.9506959915161,4.99195432662964,5.95874166488647,0.220998011175265,"LSTM"
2,"no-gap","1","English - Wh","yes",10.9506959915161,4.99195432662964,5.95874166488647,0.260998836494983,"LSTM"
2,"no-gap","1","Norwegian - Wh","no",8.61502838134766,7.20027160644531,1.41475677490234,0.242287645646323,"LSTM"
2,"no-gap","1","Norwegian - Wh","yes",8.61502838134766,7.20027160644531,1.41475677490234,0.266287061184486,"LSTM"
2,"no-gap","1","Norwegian - RC","no",8.85580253601074,7.77036142349243,1.08544111251831,0.19606634376408,"LSTM"
2,"no-gap","1","Norwegian - RC","yes",8.85580253601074,7.77036142349243,1.08544111251831,0.216514643542688,"LSTM"
2,"no-gap","2","English - Wh","no",10.5875549316406,5.21166157722473,5.37589335441589,0.194692431752643,"LSTM"
2,"no-gap","2","English - Wh","yes",7.68013453483582,5.21023261547089,2.46990191936493,0.130731900535268,"LSTM"
2,"no-gap","2","Norwegian - Wh","no",7.57987260818481,7.82558631896973,-0.245713710784912,0.206582233962013,"LSTM"
2,"no-gap","2","Norwegian - Wh","yes",7.30084896087646,7.58978605270386,-0.288937091827393,0.114940586978305,"LSTM"
2,"no-gap","2","Norwegian - RC","no",8.5799388885498,8.21961975097656,0.360319137573242,0.181632480557247,"LSTM"
2,"no-gap","2","Norwegian - RC","yes",8.33192443847656,8.23630142211914,0.0956230163574219,0.12420765621873,"LSTM"
2,"no-gap","3","English - Wh","no",8.74308276176453,4.53329336643219,4.20978939533234,0.180907904238373,"LSTM"
2,"no-gap","3","English - Wh","yes",4.76679468154907,4.73908007144928,0.0277146100997925,0.0480490420390125,"LSTM"
2,"no-gap","3","Norwegian - Wh","no",6.78417682647705,7.28655242919922,-0.502375602722168,0.197919458145037,"LSTM"
2,"no-gap","3","Norwegian - Wh","yes",7.39668846130371,7.41249752044678,-0.0158090591430664,0.0558328205239797,"LSTM"
2,"no-gap","3","Norwegian - RC","no",8.36756038665771,7.62599658966064,0.741563796997071,0.199841221826459,"LSTM"
2,"no-gap","3","Norwegian - RC","yes",7.9470157623291,7.89266586303711,0.0543498992919922,0.11087592312903,"LSTM"
2,"no-gap","4","English - Wh","no",11.1195597648621,4.11464190483093,7.00491786003113,0.205564274161331,"LSTM"
2,"no-gap","4","English - Wh","yes",4.5327228307724,4.51254522800446,0.0201776027679443,0.0439027880871188,"LSTM"
2,"no-gap","4","Norwegian - Wh","no",6.24955701828003,6.41831636428833,-0.168759346008301,0.178210147445947,"LSTM"
2,"no-gap","4","Norwegian - Wh","yes",6.10864067077637,6.25918340682983,-0.150542736053467,0.0622924079041279,"LSTM"
2,"no-gap","4","Norwegian - RC","no",7.14623928070068,6.75279664993286,0.393442630767822,0.180530889323031,"LSTM"
2,"no-gap","4","Norwegian - RC","yes",6.37451839447021,6.25161123275757,0.122907161712646,0.0744264250088103,"LSTM"
2,"no-gap","5","English - Wh","no",11.6433749198914,3.82947194576263,7.81390297412872,0.225693646088122,"LSTM"
2,"no-gap","5","English - Wh","yes",4.39215815067291,4.30302226543427,0.0891358852386475,0.0430758281410476,"LSTM"
2,"no-gap","5","Norwegian - Wh","no",6.87959718704224,6.69159507751465,0.188002109527588,0.171923421395192,"LSTM"
2,"no-gap","5","Norwegian - Wh","yes",6.5685920715332,6.56239604949951,0.00619602203369141,0.0490500426053259,"LSTM"
2,"no-gap","5","Norwegian - RC","no",6.83980941772461,6.93400859832764,-0.0941991806030273,0.171539001353807,"LSTM"
2,"no-gap","5","Norwegian - RC","yes",6.23683452606201,6.44190692901611,-0.205072402954102,0.0493484614300167,"LSTM"
3,"no-gap","1","English - Wh","no",12.7557425498962,7.04124176502228,5.71450078487396,0.220998011175265,"LSTM"
3,"no-gap","1","English - Wh","yes",12.7557425498962,7.04124176502228,5.71450078487396,0.260998836494983,"LSTM"
3,"no-gap","1","Norwegian - Wh","no",12.4090623855591,10.9293346405029,1.47972774505615,0.242287645646323,"LSTM"
3,"no-gap","1","Norwegian - Wh","yes",12.4090623855591,10.9293346405029,1.47972774505615,0.266287061184486,"LSTM"
