"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
6,"no-gap","wh-comp",-0.5,-0.813878059387207,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
6,"no-gap","wh-comp",-0.5,-0.372262001037598,0.0700725223257429,"Wh","English","English - Wh","LSTM"
6,"no-gap","wh-comp",-0.5,0.0666131973266602,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
6,"gap","zero-comp",0.5,-4.6233983039856,0.149602162815389,"Wh","English","English - Wh","LSTM"
6,"gap","zero-comp",0.5,-3.31374073028564,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
6,"gap","zero-comp",0.5,0.946486949920653,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
6,"gap","decl-comp",0.5,-4.64514350891113,0.102262478966382,"Wh","English","English - Wh","LSTM"
6,"gap","decl-comp",0.5,-2.36769485473633,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
6,"gap","decl-comp",0.5,-0.656295299530029,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
6,"gap","wh-comp",0.5,-1.86888837814331,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
6,"gap","wh-comp",0.5,-1.0188422203064,0.0700725223257429,"Wh","English","English - Wh","LSTM"
6,"gap","wh-comp",0.5,-0.300667285919189,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
7,"no-gap","zero-comp",-0.5,1.37291145324707,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
7,"no-gap","zero-comp",-0.5,2.60381603240967,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
7,"no-gap","zero-comp",-0.5,2.97864353656769,0.149602162815389,"Wh","English","English - Wh","LSTM"
7,"no-gap","decl-comp",-0.5,-0.194840431213377,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
7,"no-gap","decl-comp",-0.5,0.377749443054199,0.102262478966382,"Wh","English","English - Wh","LSTM"
